"","Article.ID","Statement.ID","Stat.ID","Journal.ID","Reference","Link","Type.of.statistics","t","N1","N2","p","Page.number","Associated.statistics","Negative.statement","Category"
"80",65,1,1,3,"Kreuzbauer, R., King, D., & Basu, S. (2015). The mind in the object—Psychological valuation of materialized human expression. Journal of Experimental Psychology: General, 144(4), 764.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-26264-001","Planned Comparision T-Test",NA,NA,NA,"0.24","772","Planned contrast tests showed that again, the differences within the aesthetic quality conditions were not statistically significant (p=.24). Finally, we performed a 2X2 ANOVA between the two accuracy and aesthetic conditions, but this interaction was not significant (p=.9), and there were also no significant main effects.","The studies showed that the proposed mechanism applies to symbolic, but not to functional or aesthetic material objects.","Incorrect-frequentist  whole population"
"81",65,2,1,3,"Kreuzbauer, R., King, D., & Basu, S. (2015). The mind in the object—Psychological valuation of materialized human expression. Journal of Experimental Psychology: General, 144(4), 764.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-26264-001","Independent Samples T-Test","0.84",NA,NA,NA,"774","The question of whether participants felt that they could notice the difference between a designer- or algorithm-designed vase received a mean score of 1.57 (sd = .97) on a 9-point scale (1 = lowest) within both algorithm conditions, and the difference between the uniqueness and nonuniqueness condition was not significant (t = -0.84).","Furthermore, they show that this specific form of symbolic object valuation could not be explained by various other related psychological theories (e.g., uniqueness, scarcity, physical touching, creative performance).","Incorrect-frequentist  current sample"
"82",66,1,1,3,"Kumar, N., Manjaly, J. A., & Sunny, M. M. (2015). The relationship between action-effect monitoring and attention capture. Journal of Experimental Psychology: General, 144(1), 1823. https://doi.org/10.1037/xge0000032
","http://psycnet.apa.org/journals/xge/144/1/18/","ANOVA",NA,NA,NA,NA,"21","Results showed a significant main effect of Set Size, F(1, 13) = 591.92, p < .001, <U+03B7>p2 = 0.98, and Target, F(2, 26) = 11.94, p < .001. <U+03B7>p2 = 0.48, but not Action, F(1, 13) = 0.95, n.s., <U+03B7>p2 = 0.07.","Experiment 2 showed that the capture occurs only with predictable, but not with unpredictable, consequences of action.","Incorrect-frequentist  current sample"
"83",67,1,1,3,"Lähteenmäki, M., Hyönä, J., Koivisto, M., & Nummenmaa, L. (2015). Affective processing requires awareness. Journal of Experimental Psychology: General, 144(2), 339365. https://doi.org/10.1037/xge0000040
","http://psycnet.apa.org/journals/xge/144/2/339/","One Sample T-Test","0.47",18,NA,"0.645","344","In both tasks, performance was at chance level, ts(17)<.471, ps>.644, rs<.052, when participants reported no awareness of the stimuli, and ex­ceeded chance level when participants were partially or completely aware of the stimuli, all ts(17) > 4.853, ps < .001, rs > .500.","When participants reported no awareness of the stimuli, semantic and affective categorization were at chance level and priming scores did not differ from zero. When participants were even partially aware of the stimuli, (a) both semantic and affective categorization could be performed above chance level with equal accuracy, (b) semantic categorization was faster than affective categorization, and (c) both semantic and affective priming were observed.","Incorrect-frequentist  current sample"
"84",67,1,2,3,"Lähteenmäki, M., Hyönä, J., Koivisto, M., & Nummenmaa, L. (2015). Affective processing requires awareness. Journal of Experimental Psychology: General, 144(2), 339365. https://doi.org/10.1037/xge0000040
","http://psycnet.apa.org/journals/xge/144/2/339/","One Sample T-Test","0.452",18,NA,"0.657","344","In both tasks, performance was at chance level, ts(17)<.471, ps>.644, rs<.052, when participants reported no awareness of the stimuli, and ex­ceeded chance level when participants were partially or completely aware of the stimuli, all ts(17) > 4.853, ps < .001, rs > .500.","When participants reported no awareness of the stimuli, semantic and affective categorization were at chance level and priming scores did not differ from zero. When participants were even partially aware of the stimuli, (a) both semantic and affective categorization could be performed above chance level with equal accuracy, (b) semantic categorization was faster than affective categorization, and (c) both semantic and affective priming were observed.","Incorrect-frequentist  current sample"
"85",67,1,3,3,"Lähteenmäki, M., Hyönä, J., Koivisto, M., & Nummenmaa, L. (2015). Affective processing requires awareness. Journal of Experimental Psychology: General, 144(2), 339365. https://doi.org/10.1037/xge0000040
","http://psycnet.apa.org/journals/xge/144/2/339/","One Sample T-Test","1.34",16,NA,"0.2","347","One-sample t tests for discrimination accuracy at different levels of awareness indicated that, in both tasks, when participants reported no awareness of the target their performance was at chance level, ts(15)<1.341, ps>.199, rs<.166","When participants reported no awareness of the stimuli, semantic and affective categorization were at chance level and priming scores did not differ from zero. When participants were even partially aware of the stimuli, (a) both semantic and affective categorization could be performed above chance level with equal accuracy, (b) semantic categorization was faster than affective categorization, and (c) both semantic and affective priming were observed.","Incorrect-frequentist  current sample"
"86",67,1,4,3,"Lähteenmäki, M., Hyönä, J., Koivisto, M., & Nummenmaa, L. (2015). Affective processing requires awareness. Journal of Experimental Psychology: General, 144(2), 339365. https://doi.org/10.1037/xge0000040
","http://psycnet.apa.org/journals/xge/144/2/339/","One Sample T-Test","0",16,NA,"1","347","One-sample t tests for discrimination accuracy at different levels of awareness indicated that, in both tasks, when participants reported no awareness of the target their performance was at chance level, ts(15)<1.341, ps>.199, rs<.166","When participants reported no awareness of the stimuli, semantic and affective categorization were at chance level and priming scores did not differ from zero. When participants were even partially aware of the stimuli, (a) both semantic and affective categorization could be performed above chance level with equal accuracy, (b) semantic categorization was faster than affective categorization, and (c) both semantic and affective priming were observed.","Incorrect-frequentist  current sample"
"87",67,1,5,3,"Lähteenmäki, M., Hyönä, J., Koivisto, M., & Nummenmaa, L. (2015). Affective processing requires awareness. Journal of Experimental Psychology: General, 144(2), 339365. https://doi.org/10.1037/xge0000040
","http://psycnet.apa.org/journals/xge/144/2/339/","One Sample T-Test","0.959",16,NA,"0.353","349","When the participants had no awareness of the stimulus (Awareness Rating 1), their performance was at chance level in all blocks, all ts(15)<.959, ps>.353, rs<.119.","When participants reported no awareness of the stimuli, semantic and affective categorization were at chance level and priming scores did not differ from zero. When participants were even partially aware of the stimuli, (a) both semantic and affective categorization could be performed above chance level with equal accuracy, (b) semantic categorization was faster than affective categorization, and (c) both semantic and affective priming were observed.","Incorrect-frequentist  current sample"
"88",68,1,1,2,"Lamy, D., Alon, L., Carmel, T., & Shalev, N. (2015). The Role of Conscious Perception in Attentional Capture and Object-File Updating. Psychological Science, 26(1), 4857. http://doi.org/10.1177/0956797614556777
","http://pss.sagepub.com/content/26/1/48.abstract","ANOVA",NA,NA,NA,NA,"51","In contrast, when the cue was in the irrelevant color, it produced a significant same-location cost when it was consciously perceived (M = 33 ms, SE = 11.29 ms), F(1, 52) = 8.31, p < .006, Cohen’s d = 0.77, but not when it was invisible (M = 1 ms, SE = 9.82 ms), F < 1, Cohen’s d = 0.02.","When the cue matched the participant’s attentional set, it strongly captured attention whether it was subliminal or consciously perceived. In contrast, a nonmatching cue did not capture attention but instead produced a same-location cost, which was contingent on consciously perceiving the cue.","Incorrect-frequentist  current sample"
"89",69,1,1,1,"Lee, Y.-S., Janata, P., Frost, C., Martinez, Z., & Granger, R. (2014). Melody recognition revisited: influence of melodic Gestalt on the encoding of relational pitch information. Psychonomic Bulletin & Review, 22(1), 163169. https://doi.org/10.3758/s13423-014-0653-y
","http://link.springer.com/article/10.3758/s13423-014-0653-y","Planned Comparision T-Test",NA,NA,NA,NA,"166","On the other hand, the second contrast revealed no difference between two-note and long two-note conditions [t(12)= 1.54, P=n.s.], indicating that increasing the sensory information did not help interval recognition.","Repeating (2) or adding an extra note (3) improved encoding of relative pitch distance when the melodic sequences were transposed to other keys, but lengthening the duration (1) did not improve encoding relative to the standard two-note interval sequences.","Incorrect-frequentist  current sample"
"90",70,1,1,1,"Lewis, M. B., & Dawkins, G. (2014). Local Navon letter processing affects skilled behavior: A golf-putting experiment. Psychonomic Bulletin & Review, 22(2), 420428. https://doi.org/10.3758/s13423-014-0702-6
","http://link.springer.com/article/10.3758/s13423-014-0702-6","Bayesian analysis ",NA,NA,NA,NA,NA,NA,"Experiment 2 found, for experienced players only, that performance was impaired following the three tasks described above, when compared with reading or global Navon tasks.","Bayesian-analysis"
"91",71,1,1,2,"Lewis, N. A., & Oyserman, D. (2015). When Does the Future Begin? Time Metrics Matter, Connecting Present and Future Selves. Psychological Science, 26(6), 816825. http://doi.org/10.1177/0956797615572231
","http://pss.sagepub.com/content/26/6/816.abstract","ANOVA",NA,NA,NA,"0.937","821","Participants rated saving for college or retirement as important (combined M = 8.623, SD = 1.805) no matter which of the three scenarios they read, F(2, 394) = 1.971, p = .177, d = 0.15, or to which time metric they were assigned, F(1, 394) = 0.000, p = .937, d = 0.02.","Time metrics mattered not because they changed how distal or important future events felt (Study 6), but because they changed how connected and congruent their current and future selves felt (Study 7).","Incorrect-frequentist  current sample"
"92",72,1,1,1,"Loaiza, V. M., Duperreault, K. A., Rhodes, M. G., & McCabe, D. P. (2014). Long-term semantic representations moderate the effect of attentional refreshing on episodic memory. Psychonomic Bulletin & Review, 22(1), 274280. https://doi.org/10.3758/s13423-014-0673-7
","http://link.springer.com/article/10.3758/s13423-014-0673-7","ANOVA",NA,NA,NA,NA,"277","There was a main effect of task, as well as an interaction, such that the benefit of complex span relative to simple span was significant for words, F(1, 43) = 14.14, <U+03B7>p2 = .25, but not for nonwords, F < 1.","The results replicated the McCabe effect, but only for words, and the beneficial effect of refreshing opportunities was exclusive to recollection. These results extend previous research by indicating that the predictive relationship between WM refreshing and long-term EM is specific to recollection and, furthermore, moderated by representations in long-term SM.","Incorrect-frequentist  whole population"
"93",73,1,1,1,"Luo, C., Dell’Acqua, R., Proctor, R. W., & Li, X. (2015). Lack of visual field asymmetries for spatial cueing in reading parafoveal Chinese characters. Psychonomic Bulletin & Review, 22(6), 17641769. doi:10.3758/s13423-015-0852-1","http://link.springer.com/article/10.3758/s13423-015-0852-1","ANOVA",NA,NA,NA,NA,"1767","The interaction between VF and cueing was also not significant, F1 and F2 < 1.","We observed a cueing effect, but it did not vary with the VF in which the Chinese character was presented, regardless of whether the cue validity (the ratio of validly to invalidly cued targets) was 1:1 or 7:3.","Incorrect-frequentist  current sample"
"94",74,1,1,3,"Lyons, I. M., Nuerk, H.-C., & Ansari, D. (2015). Rethinking the implications of numerical ratio effects for understanding the development of representational precision and numerical processing across formats. Journal of Experimental Psychology: General, 144(5), 10211035. doi:10.1037/xge0000094","http://psycnet.apa.org/journals/xge/144/5/1021/","Regression",NA,NA,NA,NA,"1028","Accordingly, if a child showed a statistically significant ratio effect in one format, in no Grade was this predictive of whether that child showed a statistically significant ratio effect in the other format (maximum R2=.011).","Furthermore, whether a child’s nonsymbolic ratio effect was significant did not predict whether the same was true of their symbolic ratio effect.","Correct-frequentist"
"95",75,1,1,3,"Mack, M. L., & Palmeri, T. J. (2015). The dynamics of categorization: Unraveling rapid categorization. Journal of Experimental Psychology: General, 144(3), 551.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-18939-001","Wilcoxon signed-rank test",NA,NA,NA,"0.751","564","Wilcoxon rank sign tests corrected for false discovery rate provided converging evidence of the interaction with faster basic than superordinate categorization at shorter run lengths (1: W = 0, p < 0.0001, difference CI = [40.3, 74.9]; 2: W =4, p = 0.0004, difference CI = [32.1, 72.9]), a marginal effect with run length 3 (W = 49, p = 0.05, difference CI = [3.15, 62.1]), but no difference across category level at run length 4 (W =96, p = 0.751, difference CI = [-49.5, 42.8]).","With randomized target categories, the superordinate advantage was eliminated; and with only four repetitions of superordinate categorization within an otherwise randomized context, the basic-level advantage was eliminated.","Incorrect-frequentist  current sample"
"96",76,1,1,1,"Madurski, C., & LeBel, E. P. (2015). Making sense of the noise: Replication difficulties of Correll’s (2008) modulation of 1/f noise in a racial bias task. Psychonomic Bulletin & Review, 22(4), 11351141.","http://link.springer.com/article/10.3758/s13423-014-0757-4","Bayesian analysis",NA,NA,NA,NA,NA,NA,"both replication attempts were unsuccessful in replicating the original finding challenging the theoretical account that 1/f noise in racial bias tasks reflects a deliberative process.","Bayesian-analysis"
"97",77,1,1,2,"Maloney, E. A., Ramirez, G., Gunderson, E. A., Levine, S. C., & Beilock, S. L. (2015). Intergenerational effects of parents’ math anxiety on children’s math achievement and anxiety. Psychological Science, 0956797615592630.","http://pss.sagepub.com/content/26/9/1480.abstract","Regression",NA,NA,NA,"0.736","1484","Overall, the frequency of parents’ math homework help did not moderate the relation between parents’ math anxiety and children’s end-of-year reading achievement, F(1, 425) =<U+2009>0.114, p = .736, which indicates that this relation was specific to math achievement.","Parents’ math anxiety did not predict children’s reading achievement, which suggests that the effects of parents’ math anxiety are specific to children’s math achievement.","Incorrect-frequentist  whole population"
"98",78,1,1,3,"Mathôt, S., Siebold, A., Donk, M., & Vitu, F. (2015). Large pupils predict goal-driven eye movements. Journal of Experimental Psychology: General, 144(3), 513.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-15673-001","T-Test for slopes",NA,NA,NA,NA,"3 supp.","Fix nr.","The relationship between pupil size and visual saliency was not driven by luminance or a range of other factors that we considered.","Incorrect-frequentist  current sample"
"99",79,1,1,3,"Matzke, D., Nieuwenhuis, S., van Rijn, H., Slagter, H. A., van der Molen, M. W., & Wagenmakers, E.-J. (2015). The effect of horizontal eye movements on free recall: A preregistered adversarial collaboration. Journal of Experimental Psychology: General, 144(1), e1e15. https://doi.org/10.1037/xge0000038
","http://psycnet.apa.org/journals/xge/144/1/e1/","Bayesian analysis",NA,NA,NA,NA,NA,"Bayesian hypotheis tests","As anticipated by the skeptics, a series of Bayesian hypothesis tests indicated that horizontal eye movements did not improve free recall performance.","Bayesian-analysis"
"100",80,1,1,1,"McNair, S., & Feeney, A. (2014). Whose statistical reasoning is facilitated by a causal structure intervention? Psychonomic Bulletin & Review, 22(1), 258264. https://doi.org/10.3758/s13423-014-0645-y","http://link.springer.com/article/10.3758/s13423-014-0645-y","Chi-squared",NA,NA,NA,NA,"260","To follow up on the statistically significant interaction, we analyzed separately the performance of high and low numerates, finding that problem type was significantly associated with Bayesian responding in the high-numerate sample, <U+03C7>2(1, N = 79) = 6.39, p < .02, <U+03D5>c = .28, but not in the low-numerate sample.","In Experiment 1, although we observed causal facilitation effects overall, the effect was confined to participants high in numeracy. We did not find an overall facilitation effect in Experiment 2 but did replicate the earlier interaction between numerical ability and the presence or absence of causal content","Correct-frequentist"
"101",81,1,1,1,"Mestry, N., Menneer, T., Wenger, M. J., Benikos, N., McCarthy, R. A., & Donnelly, N. (2014). The Role of Configurality in the Thatcher Illusion: An ERP Study. Psychonomic Bulletin & Review, 22(2), 445452. https://doi.org/10.3758/s13423-014-0705-3
","http://link.springer.com/article/10.3758/s13423-014-0705-3","ANOVA",NA,NA,NA,"0.085","448","Eye condition was significant for the RH but not LH N170 (F1,15 = 7.73, p = 0.014, <U+03B7>p2= 0.34; F3,45 =3.39, p = 0.085, <U+03B7>p2 = 0.18. respectively).","Effects of eye condition were restricted to the N170 generated in the right hemisphere.","Incorrect-frequentist  current sample"
"102",82,1,1,3,"Meyer, A., Frederick, S., Burnham, T. C., Guevara Pinto, J. D., Boyer, T. W., Ball, L. J., … Schuldt, J. P. (2015). Disfluent fonts don’t help people solve math problems. Journal of Experimental Psychology: General, 144(2), e16e30. https://doi.org/10.1037/xge0000049
","http://psycnet.apa.org/journals/xge/144/2/e16/","Independent Samples T-Test","1.53",75,75,"0.13","e18","row 2 of Table 1","The most famous demonstration showed that participants were more likely to solve counterintuitive math problems when they were printed in hard-to-read font. However, after pooling data from that experiment with 16 attempts to replicate it, we find no effect on solution rates. We examine potential moderating variables, including cognitive ability, presentation format, and experimental setting, but we find no evidence of a disfluent font benefit under any conditions.","Correct-frequentist"
"103",82,1,2,3,"Meyer, A., Frederick, S., Burnham, T. C., Guevara Pinto, J. D., Boyer, T. W., Ball, L. J., … Schuldt, J. P. (2015). Disfluent fonts don’t help people solve math problems. Journal of Experimental Psychology: General, 144(2), e16e30. https://doi.org/10.1037/xge0000049
","http://psycnet.apa.org/journals/xge/144/2/e16/","Independent Samples T-Test","0.95",124,123,"0.34","e18","row 3 of Table 1","The most famous demonstration showed that participants were more likely to solve counterintuitive math problems when they were printed in hard-to-read font. However, after pooling data from that experiment with 16 attempts to replicate it, we find no effect on solution rates. We examine potential moderating variables, including cognitive ability, presentation format, and experimental setting, but we find no evidence of a disfluent font benefit under any conditions.","Correct-frequentist"
"104",82,1,3,3,"Meyer, A., Frederick, S., Burnham, T. C., Guevara Pinto, J. D., Boyer, T. W., Ball, L. J., … Schuldt, J. P. (2015). Disfluent fonts don’t help people solve math problems. Journal of Experimental Psychology: General, 144(2), e16e30. https://doi.org/10.1037/xge0000049
","http://psycnet.apa.org/journals/xge/144/2/e16/","Independent Samples T-Test","0.26",104,104,"0.79","e18","row 4 of Table 1","The most famous demonstration showed that participants were more likely to solve counterintuitive math problems when they were printed in hard-to-read font. However, after pooling data from that experiment with 16 attempts to replicate it, we find no effect on solution rates. We examine potential moderating variables, including cognitive ability, presentation format, and experimental setting, but we find no evidence of a disfluent font benefit under any conditions.","Correct-frequentist"
"105",82,1,4,3,"Meyer, A., Frederick, S., Burnham, T. C., Guevara Pinto, J. D., Boyer, T. W., Ball, L. J., … Schuldt, J. P. (2015). Disfluent fonts don’t help people solve math problems. Journal of Experimental Psychology: General, 144(2), e16e30. https://doi.org/10.1037/xge0000049
","http://psycnet.apa.org/journals/xge/144/2/e16/","Independent Samples T-Test","0.12",56,58,"0.91","e18","row 5 of Table 1","The most famous demonstration showed that participants were more likely to solve counterintuitive math problems when they were printed in hard-to-read font. However, after pooling data from that experiment with 16 attempts to replicate it, we find no effect on solution rates. We examine potential moderating variables, including cognitive ability, presentation format, and experimental setting, but we find no evidence of a disfluent font benefit under any conditions.","Correct-frequentist"
"106",82,1,5,3,"Meyer, A., Frederick, S., Burnham, T. C., Guevara Pinto, J. D., Boyer, T. W., Ball, L. J., … Schuldt, J. P. (2015). Disfluent fonts don’t help people solve math problems. Journal of Experimental Psychology: General, 144(2), e16e30. https://doi.org/10.1037/xge0000049
","http://psycnet.apa.org/journals/xge/144/2/e16/","Independent Samples T-Test","0.05",43,44,"0.96","e18","row 6 of Table 1","The most famous demonstration showed that participants were more likely to solve counterintuitive math problems when they were printed in hard-to-read font. However, after pooling data from that experiment with 16 attempts to replicate it, we find no effect on solution rates. We examine potential moderating variables, including cognitive ability, presentation format, and experimental setting, but we find no evidence of a disfluent font benefit under any conditions.","Correct-frequentist"
"107",83,1,1,3,"Molesworth, C., Chevallier, C., Happé, F., & Hampton, J. A. (2015). Children with autism do not show sequence effects with auditory stimuli. Journal of Experimental Psychology: General, 144(1), 4857. https://doi.org/10.1037/a0038204
","http://psycnet.apa.org/journals/xge/144/1/48/","Post-hoc T-Test",NA,NA,NA,"0.14","52","Using Bonferroni correction, a = .025, the difference in means between categories, same versus different, was highly significant for the TD group, t(16) = 9.15, p < .001, d = 2.23, but not for the ASD group, t(14) = 1.57, p = .14, d = .41","The typically developing group alone demonstrated a category contrast effect. The data suggest that this finding cannot be attributed readily to participant group differences in discrimination sensitivity, perseveration, difficulties on the associated binary categorization task, or greater reliance on long-term memory.","Incorrect-frequentist  whole population"
"108",83,1,2,3,"Molesworth, C., Chevallier, C., Happé, F., & Hampton, J. A. (2015). Children with autism do not show sequence effects with auditory stimuli. Journal of Experimental Psychology: General, 144(1), 4857. https://doi.org/10.1037/a0038204
","http://psycnet.apa.org/journals/xge/144/1/48/","Independent Samples T-Test","0.96",15,17,"0.35","52","Therefore, each participant’s discrimination sensitivity, A ’, to the 2% difference in tone pitch was calculated by using published formulae (Rae, 1976). The means were very similar between participant groups (ASD group: M = .63, SD = .14; TD group: M = .68, SD = .16), with no significant group difference, t(29) = .96, p = .35, d = .35.","The typically developing group alone demonstrated a category contrast effect. The data suggest that this finding cannot be attributed readily to participant group differences in discrimination sensitivity, perseveration, difficulties on the associated binary categorization task, or greater reliance on long-term memory.","Incorrect-frequentist  whole population"
"109",83,1,3,3,"Molesworth, C., Chevallier, C., Happé, F., & Hampton, J. A. (2015). Children with autism do not show sequence effects with auditory stimuli. Journal of Experimental Psychology: General, 144(1), 4857. https://doi.org/10.1037/a0038204
","http://psycnet.apa.org/journals/xge/144/1/48/","Independent Samples T-Test","0.66",16,16,"0.51","52","The mean proportions of perseverative responses to these tones were very similar between participant groups (ASD group: M = .37, SD = .16; TD group: M = .33, SD = .17), with no significant group difference, t(30) = .66, p = .51, d = .23.","The typically developing group alone demonstrated a category contrast effect. The data suggest that this finding cannot be attributed readily to participant group differences in discrimination sensitivity, perseveration, difficulties on the associated binary categorization task, or greater reliance on long-term memory.","Incorrect-frequentist  whole population"
"110",83,1,4,3,"Molesworth, C., Chevallier, C., Happé, F., & Hampton, J. A. (2015). Children with autism do not show sequence effects with auditory stimuli. Journal of Experimental Psychology: General, 144(1), 4857. https://doi.org/10.1037/a0038204
","http://psycnet.apa.org/journals/xge/144/1/48/","Independent Samples T-Test","1",16,16,"0.32","52","Performance on this measure was slightly lower for the ASD group (M = .81, SD = .20) than for the TD group (M = .86, SD = .16; reverse transformed scores supplied for means only). However, an independent-samples t test confirmed the difference was not significant, t(30) = 1.00, p = .32, d = .35.","The typically developing group alone demonstrated a category contrast effect. The data suggest that this finding cannot be attributed readily to participant group differences in discrimination sensitivity, perseveration, difficulties on the associated binary categorization task, or greater reliance on long-term memory.","Incorrect-frequentist  whole population"
"111",84,1,1,1,"Montani, V., Facoetti, A., & Zorzi, M. (2015). The effect of decreased interletter spacing on orthographic processing. Psychonomic Bulletin & Review, 22(3), 824832.","http://link.springer.com/article/10.3758/s13423-014-0728-9","Regression",NA,NA,NA,NA,"827","No other effect was significant. (...) The length factor was also excluded because it did not interact with spacing in the full model.","Importantly, the effect of spacing was not modulated by string length, suggesting that the locus of the spacing effect is at the level of letter detectors.","Incorrect-frequentist  whole population"
"112",85,1,1,1,"Moradi, Z., Sui, J., Hewstone, M., & Humphreys, G. W. (2015). In-group modulation of perceptual matching. Psychonomic Bulletin & Review, 22(5), 12551277. doi:10.3758/s13423-014-0798-8","http://link.springer.com/article/10.3758/s13423-014-0798-8","ANOVA",NA,NA,NA,"0.861","1265","The main effect of team was not significant, F(2,30)=0.15, p > .861 and neither was the interaction between match condition and team, F(2,30)=2.73, p>.10.","We also observed effects of in-group bias on the response criteria in some but not all of the experiments. In control studies, the advantage for in-group stimuli was not found in an independent sample of participants who were not football fans. This indicates that there was not an intrinsic advantage for the timuli that were “in-group” for football fans.","Incorrect-frequentist  current sample"
"113",86,1,1,1,"Mousikou, P., Kinoshita, S., Wu, S., & Norris, D. (2015). Transposed-letter priming effects in reading aloud words and nonwords. Psychonomic Bulletin & Review, 22(5), 14371442. doi:10.3758/s13423-015-0806-7","http://link.springer.com/article/10.3758/s13423-015-0806-7","Bayesian analysis",NA,NA,NA,NA,NA,"The model without the interaction term was preferred (the Bayes factor was 13.30653<U+2009>±<U+2009>2.89 %), which according to Jeffreys (1961) provides “strong evidence” for the null hypothesis.","In the present study, we investigated TL priming effects in reading aloud words and nonwords and found that these effects are of equal magnitude for the two types of items","Bayesian-analysis"
"114",87,1,1,2,"Murphy, M. L. M., Slavich, G. M., Chen, E., & Miller, G. E. (2015). Targeted Rejection Predicts Decreased Anti-Inflammatory Gene Expression and Increased Symptom Severity in Youth With Asthma. Psychological Science, 26(2), 111121. http://doi.org/10.1177/0956797614556320
","http://pss.sagepub.com/content/26/2/111.abstract","T-Test for slopes",NA,NA,NA,"0.07","116","However, we found no significant associations between expression of GR mRNA and within-person changes in the occurrence of noninterpersonal (b = 0.82, SE = 0.44, p = .07, d = 0.36) or interpersonal (b = 0.21, SE = 0.53, p = .70, d = 0.01) major life events.","Youths who had recently experienced targeted rejection had lower messenger RNA expression for signaling molecules that control airway inflammation and obstruction (specifically, the glucocorticoid receptor and ß2-adrenergic receptor) than youths who had not experienced targeted rejection. These associations were specific to targeted rejection and stronger for youths higher in subjective social status.","Incorrect-frequentist  current sample"
"115",88,1,1,1,"Normand, A., Autin, F., & Croizet, J.-C. (2015). Evaluative pressure overcomes perceptual load effects. Psychonomic Bulletin & Review, 22(3), 737742.","http://link.springer.com/article/10.3758/s13423-014-0729-8","ANOVA",NA,NA,NA,"0.489","739","However, and as predicted by the stricter attentional set hypothesis,participants in the evaluative pressure condition showed a persistent flanker effect regardless of perceptual load level (M low perceptual load = 31 ms and M high perceptual load = 47 ms), F(1, 33) = 0.48, p = .489.","Using a response-competition task, we replicated previous findings that high levels of perceptual load suppress task-relevant distractor response interference, but only for participants in a control condition.","Correct-frequentist"
"116",89,1,1,3,"Papesh, M. H. (2015). Just out of reach: On the reliability of the action-sentence compatibility effect. Journal of Experimental Psychology: General, 144(6), e116e141. doi:10.1037/xge0000125","http://psycnet.apa.org/journals/xge/144/6/e116/","Bayesian analysis",NA,NA,NA,NA,NA,NA,"In each experiment, the ACE could not be disembodied, because the ACE did not occur.","Bayesian-analysis"
"117",90,1,1,1,"Patalano, A. L., Saltiel, J. R., Machlin, L., & Barth, H. (2015). The role of numeracy and approximate number system acuity in predicting value and probability distortion. Psychonomic Bulletin & Review, 22(6), 18201829. doi:10.3758/s13423-015-0849-9","http://link.springer.com/article/10.3758/s13423-015-0849-9","Correlation",NA,NA,NA,NA,"1825","As shown in Table2, moderate negative correlations were found between numeracy and all coefficient deviation measures except <U+03B4>d. Weak negative correlations between ANS score and deviation measures were observed but were not statistically reliable.","We found moderately strong negative correlations between numeracy and value and probability distortion, but only weak and non-statistically reliable correlations between ANS acuity and distortions.","Correct-frequentist"
"118",91,1,1,2,"Pattaratanakun, J. A., & Mak, V. (2015). Culture Moderates Biases in Search Decisions. Psychological Science, 26(8), 12291240. http://doi.org/10.1177/0956797615583979
","http://pss.sagepub.com/content/26/8/1229.abstract","Planned Comparision T-Test",NA,NA,NA,NA,"1232","We followed up
with t tests for simple effects of culture at each level of
search cost; we did not find a significant effect when search cost was low, t(43) = 0.95, p > .250, Cohen’s d = 0.28, but there was a significant effect when search cost was high, t(61) = 2.42, p = .019, Cohen’s d = 0.62.
","In our pilot experiment, participants generally undersearched when search cost was low, but only Eastern participants oversearched when search cost was high.; We obtained further process evidence for our theory in Experiment 3, in which we made sunk costs nonsalient in the search task—as expected, cross-cultural effects were largely mitigated.","Incorrect-frequentist  current sample"
"119",92,1,1,3,"Pecher, D., van Mierlo, H., Canal-Bruland, R., & Zeelenberg, R. (2015). The burden of secrecy? No effect on hill slant estimation and beanbag throwing. Journal of Experimental Psychology: General, 144(4), e65.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-27293-001","Bayesian analysis",NA,NA,NA,NA,NA,NA,"In 2 experiments, we tried to replicate this finding, but, despite larger power, did not find a difference in slant estimates between participants who recalled a big secret and those who recalled a small secret.","Correct-frequentist"
"120",93,1,1,3,"Pegors, T. K., Mattar, M. G., Bryan, P. B., & Epstein, R. A. (2015). Simultaneous perceptual and response biases on sequential face attractiveness judgments. Journal of Experimental Psychology: General, 144(3), 664.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-15251-001","Paired Samples T-Test","0.8",391,NA,"0.42","671","There was no difference between the strength of the assimilative biases for each trial type, t(390) = -0.80, p = .42, even though assimilative biases as a result of the previous rating were significant in both trials preceded by short-duration trials, t(390) = 4.95, p < .001, and trials preceded by long-duration trials, t(390) = 4.37, p < .001.","Further, we provide evidence that the contrastive stimulus bias (but not the assimilative response bias) is strengthened by increasing the duration of the previous stimulus, suggesting an underlying perceptual mechanism.","Incorrect-frequentist  whole population"
